Tanggal,Prediksi
2023-12-30,188.49516462499813
2023-12-31,188.42989942536198
2024-01-01,188.12404044340104
2024-01-02,188.22820382152227
2024-01-03,188.24156791071118
2024-01-04,188.12010699198416
2024-01-05,188.08049221813593
2024-01-06,188.02180919305204
2024-01-07,187.96528883525414
2024-01-08,187.9157735229971
2024-01-09,187.86465565725257
2024-01-10,187.81278178738643
2024-01-11,187.76171097488285
2024-01-12,187.7102455459202
2024-01-13,187.6588484180195
2024-01-14,187.6075434622126
2024-01-15,187.55623340577708
2024-01-16,187.50494757204936
2024-01-17,187.45369125079375
2024-01-18,187.4024508493405
2024-01-19,187.3512330431034
2024-01-20,187.30003720847407
2024-01-21,187.24886247078518
2024-01-22,187.19770937751605
2024-01-23,187.14657784931214
2024-01-24,187.09546775151875
2024-01-25,187.04437915812838
2024-01-26,186.9933120389834
2024-01-27,186.9422663792967
2024-01-28,186.89124217771183
2024-01-29,186.84023942303816
2024-01-30,186.78925810549833
2024-01-31,186.7382982170241
2024-02-01,186.68735974821644
2024-02-02,186.63644269007003
2024-02-03,186.58554703366852
2024-02-04,186.5346727699774
2024-02-05,186.48381989000555
2024-02-06,186.4329883847744
2024-02-07,186.38217824529391
2024-02-08,186.3313894625845
2024-02-09,186.28062202766998
2024-02-10,186.22987593157683
2024-02-11,186.17915116533595
2024-02-12,186.12844771998198
2024-02-13,186.07776558655303
2024-02-14,186.0271047560913
2024-02-15,185.97646521964253
2024-02-16,185.92584696825637
2024-02-17,185.87524999298623
2024-02-18,185.82467428488914
2024-02-19,185.77411983502594
2024-02-20,185.72358663446138
2024-02-21,185.6730746742638
2024-02-22,185.6225839455053
2024-02-23,185.57211443926184
2024-02-24,185.52166614661303
2024-02-25,185.47123905864228
2024-02-26,185.42083316643672
2024-02-27,185.3704484610872
